batch,n_inserted,ef_construction,batch_time,recall_at_10,config
0,713,200,0.011773109436035156,1.0,Vanilla+Fixed
1,1713,200,0.02637481689453125,0.9990000000000001,Vanilla+Fixed
2,1824,200,0.003490924835205078,1.0,Vanilla+Fixed
3,2824,200,0.032868146896362305,1.0,Vanilla+Fixed
4,2833,200,0.0017671585083007812,1.0,Vanilla+Fixed
5,3833,200,0.03820395469665527,1.0,Vanilla+Fixed
6,3841,200,0.0017011165618896484,1.0,Vanilla+Fixed
7,4841,200,0.04303097724914551,0.995,Vanilla+Fixed
8,4867,200,0.006551027297973633,0.9884615384615384,Vanilla+Fixed
9,5867,200,0.046411991119384766,0.996,Vanilla+Fixed
10,5977,200,0.005403757095336914,0.986,Vanilla+Fixed
11,6977,200,0.0484771728515625,0.9930000000000001,Vanilla+Fixed
12,7081,200,0.006118059158325195,0.987,Vanilla+Fixed
13,7940,200,0.0439150333404541,0.9880000000000001,Vanilla+Fixed
14,8940,200,0.06524896621704102,0.9840000000000001,Vanilla+Fixed
15,9019,200,0.0047779083251953125,0.978481012658228,Vanilla+Fixed
16,10000,200,0.05326414108276367,0.98,Vanilla+Fixed
0,713,50,0.011245965957641602,1.0,Vanilla+TS
1,1713,400,0.02591085433959961,0.9990000000000001,Vanilla+TS
2,1824,400,0.0035271644592285156,1.0,Vanilla+TS
3,2824,400,0.03290200233459473,1.0,Vanilla+TS
4,2833,400,0.0017750263214111328,1.0,Vanilla+TS
5,3833,400,0.03796887397766113,1.0,Vanilla+TS
6,3841,400,0.0016980171203613281,1.0,Vanilla+TS
7,4841,50,0.042291879653930664,0.995,Vanilla+TS
8,4867,400,0.00652003288269043,0.9846153846153847,Vanilla+TS
9,5867,50,0.04507184028625488,0.996,Vanilla+TS
10,5977,50,0.005247831344604492,0.986,Vanilla+TS
11,6977,400,0.04773092269897461,0.9930000000000001,Vanilla+TS
12,7081,400,0.00575709342956543,0.988,Vanilla+TS
13,7940,100,0.04317593574523926,0.9870000000000002,Vanilla+TS
14,8940,400,0.05125093460083008,0.985,Vanilla+TS
15,9019,400,0.004782199859619141,0.9772151898734179,Vanilla+TS
16,10000,50,0.05163288116455078,0.98,Vanilla+TS
0,713,200,0.009550094604492188,1.0,LearnToSkip+Fixed
1,1713,200,0.021615982055664062,0.9990000000000001,LearnToSkip+Fixed
2,1824,200,0.002825021743774414,1.0,LearnToSkip+Fixed
3,2824,200,0.03154897689819336,1.0,LearnToSkip+Fixed
4,2833,200,0.001425027847290039,0.9888888888888889,LearnToSkip+Fixed
5,3833,200,0.030824899673461914,0.9969999999999999,LearnToSkip+Fixed
6,3841,200,0.001344919204711914,1.0,LearnToSkip+Fixed
7,4841,200,0.03413724899291992,0.995,LearnToSkip+Fixed
8,4867,200,0.0052242279052734375,0.9846153846153847,LearnToSkip+Fixed
9,5867,200,0.03733992576599121,0.9940000000000001,LearnToSkip+Fixed
10,5977,200,0.004476785659790039,0.9830000000000001,LearnToSkip+Fixed
11,6977,200,0.03942608833312988,0.9840000000000001,LearnToSkip+Fixed
12,7081,200,0.0050067901611328125,0.985,LearnToSkip+Fixed
13,7940,200,0.03537607192993164,0.9830000000000001,LearnToSkip+Fixed
14,8940,200,0.05242013931274414,0.9740000000000001,LearnToSkip+Fixed
15,9019,200,0.004929065704345703,0.9721518987341774,LearnToSkip+Fixed
16,10000,200,0.04192399978637695,0.9740000000000002,LearnToSkip+Fixed
0,713,50,0.009757041931152344,1.0,LearnToSkip+TS
1,1713,400,0.021574020385742188,0.9990000000000001,LearnToSkip+TS
2,1824,400,0.002825021743774414,1.0,LearnToSkip+TS
3,2824,400,0.027266979217529297,1.0,LearnToSkip+TS
4,2833,400,0.0014529228210449219,0.9888888888888889,LearnToSkip+TS
5,3833,400,0.031807899475097656,0.998,LearnToSkip+TS
6,3841,400,0.0013680458068847656,1.0,LearnToSkip+TS
7,4841,50,0.03455996513366699,0.995,LearnToSkip+TS
8,4867,400,0.005315065383911133,0.9846153846153847,LearnToSkip+TS
9,5867,50,0.037153005599975586,0.9930000000000001,LearnToSkip+TS
10,5977,50,0.004530191421508789,0.9820000000000002,LearnToSkip+TS
11,6977,400,0.038320302963256836,0.9840000000000001,LearnToSkip+TS
12,7081,400,0.0052890777587890625,0.987,LearnToSkip+TS
13,7940,100,0.03423166275024414,0.9800000000000003,LearnToSkip+TS
14,8940,400,0.041780948638916016,0.9740000000000001,LearnToSkip+TS
15,9019,400,0.0044972896575927734,0.9708860759493673,LearnToSkip+TS
16,10000,50,0.04343080520629883,0.9730000000000001,LearnToSkip+TS
